author,dominant_topic
Albert Hsiao,20
Alex Cloninger,28
Angela Yu,14
Armin Schwartzman,25
Arya Mazumdar,28
Babak Salimi,10
Barna Saha,26
Benjamin Smarr,9
Berk Ustun,18
Bradley Voytek,9
David Danks,0
Dimitris Politis,28
Eran Mukamel,12
"Ery, Arias-Castro ",25
Frank Wuerthwein,18
Gal Mishne,28
George Sugihara,7
Henrik Christensen,0
Ilkay Altintas,16
Jelena Bradic,25
Jingbo Shang,18
Justin Eldridge,28
Lucila Ohno-Machado,18
Margaret (Molly) Roberts,16
Michael Holst,28
Michael Pazzani,18
Mikhail Belkin,28
Mikio Aoi,28
R. Stuart Geiger,0
Rajesh Gupta,0
Rayan Saab,28
Robin Knight,12
Ronghui (Lily) Xu,19
Rose Yu,15
Ruth Williams,28
Shankar Subramaniam,14
Shannon Ellis,11
Tara Javidi,0
Terry Sejnowski,6
Tsu-Wei (Lily) Weng,28
Vineet Bafna,18
Virginia De Sa,2
Yian Ma,28
Yoav Freund,0
Young-Han Kim,17
Yusu Wang,25
Zhiting Hu,0
