,HDSI_author,year,category_for
129,Lucila Ohno-Machado,2018,"['0807 Library and Information Studies', '1114 Paediatrics and Reproductive Medicine', '16 Studies in Human Society', '06 Biological Sciences', '09 Engineering', '1117 Public Health and Health Services', '0801 Artificial Intelligence and Image Processing', '1109 Neurosciences', '0804 Data Format', '1103 Clinical Sciences', '1402 Applied Economics', '11 Medical and Health Sciences', '14 Economics', '1605 Policy and Administration', '0806 Information Systems', '08 Information and Computing Sciences']"
130,Lucila Ohno-Machado,2019,"['0804 Data Format', '1117 Public Health and Health Services', '0801 Artificial Intelligence and Image Processing', '09 Engineering', '1103 Clinical Sciences', '11 Medical and Health Sciences', '0806 Information Systems', '1113 Ophthalmology and Optometry', '08 Information and Computing Sciences']"
131,Lucila Ohno-Machado,2020,"['0899 Other Information and Computing Sciences', '0601 Biochemistry and Cell Biology', '1101 Medical Biochemistry and Metabolomics', '1112 Oncology and Carcinogenesis', '06 Biological Sciences', '0804 Data Format', '1117 Public Health and Health Services', '0801 Artificial Intelligence and Image Processing', '0604 Genetics', '1102 Cardiorespiratory Medicine and Haematology', '1103 Clinical Sciences', '0802 Computation Theory and Mathematics', '11 Medical and Health Sciences', '0304 Medicinal and Biomolecular Chemistry', '03 Chemical Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
132,Lucila Ohno-Machado,2021,"['1114 Paediatrics and Reproductive Medicine', '16 Studies in Human Society', '06 Biological Sciences', '1699 Other Studies In Human Society', '1117 Public Health and Health Services', '0801 Artificial Intelligence and Image Processing', '0604 Genetics', '1102 Cardiorespiratory Medicine and Haematology', '1109 Neurosciences', '1103 Clinical Sciences', '1113 Ophthalmology and Optometry', '0104 Statistics', '11 Medical and Health Sciences', '01 Mathematical Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
133,Margaret (Molly) Roberts,2016,"['16 Studies in Human Society', '0104 Statistics', '01 Mathematical Sciences', '1606 Political Science']"
134,Margaret (Molly) Roberts,2017,"['16 Studies in Human Society', '1608 Sociology', '1402 Applied Economics', '1605 Policy and Administration', '14 Economics', '1606 Political Science']"
135,Margaret (Molly) Roberts,2018,"['1606 Political Science', '16 Studies in Human Society']"
136,Margaret (Molly) Roberts,2020,"['1402 Applied Economics', '14 Economics', '1606 Political Science', '16 Studies in Human Society']"
137,Margaret (Molly) Roberts,2021,"['1608 Sociology', '08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing', '16 Studies in Human Society']"
138,Michael Holst,2016,"['0201 Astronomical and Space Sciences', '0101 Pure Mathematics', '02 Physical Sciences', '01 Mathematical Sciences']"
139,Michael Holst,2017,"['0803 Computer Software', '06 Biological Sciences', '0101 Pure Mathematics', '02 Physical Sciences', '01 Mathematical Sciences', '03 Chemical Sciences', '0307 Theoretical and Computational Chemistry', '08 Information and Computing Sciences']"
140,Michael Holst,2018,"['06 Biological Sciences', '02 Physical Sciences', '0801 Artificial Intelligence and Image Processing', '03 Chemical Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
141,Michael Holst,2019,"['0601 Biochemistry and Cell Biology', '06 Biological Sciences', '02 Physical Sciences', '0801 Artificial Intelligence and Image Processing', '0299 Other Physical Sciences', '03 Chemical Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
142,Michael Holst,2020,"['0601 Biochemistry and Cell Biology', '0102 Applied Mathematics', '06 Biological Sciences', '0101 Pure Mathematics', '02 Physical Sciences', '0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '03 Chemical Sciences', '08 Information and Computing Sciences']"
143,Michael Holst,2021,"['0101 Pure Mathematics', '01 Mathematical Sciences']"
144,Michael Pazzani,2016,"['0806 Information Systems', '08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
145,Michael Pazzani,2017,"['0806 Information Systems', '08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
146,Michael Pazzani,2019,"['0806 Information Systems', '08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
147,Mikhail Belkin,2018,"['0104 Statistics', '0101 Pure Mathematics', '01 Mathematical Sciences']"
148,Mikhail Belkin,2019,"['08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
149,Mikhail Belkin,2020,"['0104 Statistics', '08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences']"
150,Mikhail Belkin,2021,"['08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
151,Mikio Aoi,2016,"['17 Psychology and Cognitive Sciences', '1701 Psychology']"
152,Mikio Aoi,2017,"['1702 Cognitive Sciences', '1701 Psychology', '0801 Artificial Intelligence and Image Processing', '1109 Neurosciences', '0104 Statistics', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
153,Mikio Aoi,2018,"['1702 Cognitive Sciences', '17 Psychology and Cognitive Sciences', '1701 Psychology']"
154,Mikio Aoi,2020,"['1702 Cognitive Sciences', '1701 Psychology', '1109 Neurosciences', '0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences', '08 Information and Computing Sciences']"
155,R. Stuart Geiger,2016,"['0807 Library and Information Studies', '20 Language, Communication and Culture', '2001 Communication and Media Studies', '0806 Information Systems', '08 Information and Computing Sciences']"
156,R. Stuart Geiger,2017,"['16 Studies in Human Society', '20 Language, Communication and Culture', '1701 Psychology', '1608 Sociology', '17 Psychology and Cognitive Sciences', '2002 Cultural Studies']"
157,R. Stuart Geiger,2018,"['0803 Computer Software', '1608 Sociology', '08 Information and Computing Sciences', '16 Studies in Human Society']"
158,R. Stuart Geiger,2019,"['16 Studies in Human Society', '1701 Psychology', '0801 Artificial Intelligence and Image Processing', '1608 Sociology', '17 Psychology and Cognitive Sciences', '08 Information and Computing Sciences']"
159,R. Stuart Geiger,2020,"['08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
160,R. Stuart Geiger,2021,"['16 Studies in Human Society', '0801 Artificial Intelligence and Image Processing', '1608 Sociology', '0803 Computer Software', '08 Information and Computing Sciences']"
161,Rajesh Gupta,2016,"['0102 Applied Mathematics', '0910 Manufacturing Engineering', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '1202 Building', '12 Built Environment and Design', '0104 Statistics', '01 Mathematical Sciences', '0803 Computer Software', '08 Information and Computing Sciences']"
162,Rajesh Gupta,2017,"['10 Technology', '1005 Communications Technologies', '1701 Psychology', '0102 Applied Mathematics', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '0906 Electrical and Electronic Engineering', '0802 Computation Theory and Mathematics', '17 Psychology and Cognitive Sciences', '0104 Statistics', '01 Mathematical Sciences', '0803 Computer Software', '0806 Information Systems', '08 Information and Computing Sciences']"
163,Rajesh Gupta,2018,"['10 Technology', '0805 Distributed Computing', '1005 Communications Technologies', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '1006 Computer Hardware', '0104 Statistics', '14 Economics', '01 Mathematical Sciences', '0803 Computer Software', '0806 Information Systems', '08 Information and Computing Sciences']"
164,Rajesh Gupta,2019,"['10 Technology', '1005 Communications Technologies', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '0906 Electrical and Electronic Engineering', '0104 Statistics', '1006 Computer Hardware', '0802 Computation Theory and Mathematics', '01 Mathematical Sciences', '0803 Computer Software', '0806 Information Systems', '08 Information and Computing Sciences']"
165,Rajesh Gupta,2020,"['10 Technology', '1005 Communications Technologies', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '1202 Building', '12 Built Environment and Design', '0906 Electrical and Electronic Engineering', '0802 Computation Theory and Mathematics', '0803 Computer Software', '0806 Information Systems', '08 Information and Computing Sciences']"
166,Rajesh Gupta,2021,"['10 Technology', '0805 Distributed Computing', '16 Studies in Human Society', '20 Language, Communication and Culture', '1006 Computer Hardware', '2002 Cultural Studies', '05 Environmental Sciences', '0803 Computer Software', '0806 Information Systems', '08 Information and Computing Sciences']"
167,Rayan Saab,2016,"['10 Technology', '1005 Communications Technologies', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '1102 Cardiorespiratory Medicine and Haematology', '0906 Electrical and Electronic Engineering', '0802 Computation Theory and Mathematics', '11 Medical and Health Sciences', '08 Information and Computing Sciences']"
168,Rayan Saab,2017,"['0102 Applied Mathematics', '0101 Pure Mathematics', '0801 Artificial Intelligence and Image Processing', '0802 Computation Theory and Mathematics', '0104 Statistics', '0103 Numerical and Computational Mathematics', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
169,Rayan Saab,2018,"['0102 Applied Mathematics', '0101 Pure Mathematics', '0801 Artificial Intelligence and Image Processing', '1102 Cardiorespiratory Medicine and Haematology', '1103 Clinical Sciences', '11 Medical and Health Sciences', '0103 Numerical and Computational Mathematics', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
170,Rayan Saab,2019,"['0102 Applied Mathematics', '0802 Computation Theory and Mathematics', '0104 Statistics', '01 Mathematical Sciences', '0103 Numerical and Computational Mathematics', '08 Information and Computing Sciences']"
171,Rayan Saab,2020,"['08 Information and Computing Sciences', '0102 Applied Mathematics', '0101 Pure Mathematics', '0801 Artificial Intelligence and Image Processing', '0299 Other Physical Sciences', '0103 Numerical and Computational Mathematics', '01 Mathematical Sciences', '02 Physical Sciences']"
172,Rayan Saab,2021,"['0102 Applied Mathematics', '0101 Pure Mathematics', '0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
173,Rayan Saab,2022,"['0101 Pure Mathematics', '01 Mathematical Sciences']"
174,Robin Knight,2016,"['0601 Biochemistry and Cell Biology', '1115 Pharmacology and Pharmaceutical Sciences', '0801 Artificial Intelligence and Image Processing', '1103 Clinical Sciences', '0305 Organic Chemistry', '11 Medical and Health Sciences', '1302 Curriculum and Pedagogy', '03 Chemical Sciences', '08 Information and Computing Sciences', '1104 Complementary and Alternative Medicine', '1303 Specialist Studies In Education', '0602 Ecology', '1109 Neurosciences', '1111 Nutrition and Dietetics', '01 Mathematical Sciences', '13 Education', '0699 Other Biological Sciences', '0607 Plant Biology', '1701 Psychology', '0102 Applied Mathematics', '1117 Public Health and Health Services', '0605 Microbiology', '17 Psychology and Cognitive Sciences', '1107 Immunology', '0806 Information Systems', '1114 Paediatrics and Reproductive Medicine', '06 Biological Sciences', '0604 Genetics', '05 Environmental Sciences']"
175,Robin Knight,2017,"['0601 Biochemistry and Cell Biology', '1115 Pharmacology and Pharmaceutical Sciences', '10 Technology', '0306 Physical Chemistry (incl. Structural)', '0801 Artificial Intelligence and Image Processing', '1108 Medical Microbiology', '1103 Clinical Sciences', '0305 Organic Chemistry', '0104 Statistics', '0403 Geology', '11 Medical and Health Sciences', '0406 Physical Geography and Environmental Geoscience', '03 Chemical Sciences', '04 Earth Sciences', '08 Information and Computing Sciences', '1303 Specialist Studies In Education', '05 Environmental Sciences', '0602 Ecology', '09 Engineering', '0301 Analytical Chemistry', '1109 Neurosciences', '1102 Cardiorespiratory Medicine and Haematology', '18 Law and Legal Studies', '01 Mathematical Sciences', '13 Education', '1702 Cognitive Sciences', '0603 Evolutionary Biology', '0503 Soil Sciences', '0607 Plant Biology', '1701 Psychology', '1801 Law', '1117 Public Health and Health Services', '0904 Chemical Engineering', '0605 Microbiology', '17 Psychology and Cognitive Sciences', '1107 Immunology', '1114 Paediatrics and Reproductive Medicine', '1112 Oncology and Carcinogenesis', '06 Biological Sciences', '0604 Genetics', '0304 Medicinal and Biomolecular Chemistry', '0502 Environmental Science and Management', '0914 Resources Engineering and Extractive Metallurgy']"
176,Robin Knight,2018,"['10 Technology', '0601 Biochemistry and Cell Biology', '1115 Pharmacology and Pharmaceutical Sciences', '0801 Artificial Intelligence and Image Processing', '1108 Medical Microbiology', '1103 Clinical Sciences', '0104 Statistics', '11 Medical and Health Sciences', '15 Commerce, Management, Tourism and Services', '03 Chemical Sciences', '04 Earth Sciences', '08 Information and Computing Sciences', '0602 Ecology', '1109 Neurosciences', '1111 Nutrition and Dietetics', '1102 Cardiorespiratory Medicine and Haematology', '0399 Other Chemical Sciences', '01 Mathematical Sciences', '0703 Crop and Pasture Production', '0503 Soil Sciences', '0699 Other Biological Sciences', '0603 Evolutionary Biology', '1701 Psychology', '0607 Plant Biology', '1117 Public Health and Health Services', '0605 Microbiology', '17 Psychology and Cognitive Sciences', '1107 Immunology', '07 Agricultural and Veterinary Sciences', '1112 Oncology and Carcinogenesis', '1114 Paediatrics and Reproductive Medicine', '06 Biological Sciences', '0604 Genetics', '0405 Oceanography', '05 Environmental Sciences', '0502 Environmental Science and Management', '1101 Medical Biochemistry and Metabolomics']"
177,Robin Knight,2019,"['10 Technology', '0601 Biochemistry and Cell Biology', '1105 Dentistry', '1108 Medical Microbiology', '1103 Clinical Sciences', '0104 Statistics', '11 Medical and Health Sciences', '04 Earth Sciences', '03 Chemical Sciences', '08 Information and Computing Sciences', '0602 Ecology', '0301 Analytical Chemistry', '1109 Neurosciences', '1102 Cardiorespiratory Medicine and Haematology', '1111 Nutrition and Dietetics', '0704 Fisheries Sciences', '01 Mathematical Sciences', '1701 Psychology', '1117 Public Health and Health Services', '0605 Microbiology', '1608 Sociology', '17 Psychology and Cognitive Sciences', '1107 Immunology', '07 Agricultural and Veterinary Sciences', '0806 Information Systems', '1112 Oncology and Carcinogenesis', '1114 Paediatrics and Reproductive Medicine', '16 Studies in Human Society', '06 Biological Sciences', '0604 Genetics', '0405 Oceanography', '05 Environmental Sciences', '0502 Environmental Science and Management']"
178,Robin Knight,2020,"['0601 Biochemistry and Cell Biology', '10 Technology', '1115 Pharmacology and Pharmaceutical Sciences', '1105 Dentistry', '0801 Artificial Intelligence and Image Processing', '1108 Medical Microbiology', '0403 Geology', '1103 Clinical Sciences', '0104 Statistics', '0305 Organic Chemistry', '11 Medical and Health Sciences', '0608 Zoology', '04 Earth Sciences', '03 Chemical Sciences', '08 Information and Computing Sciences', '0908 Food Sciences', '0602 Ecology', '09 Engineering', '0301 Analytical Chemistry', '1109 Neurosciences', '1111 Nutrition and Dietetics', '1102 Cardiorespiratory Medicine and Haematology', '0704 Fisheries Sciences', '01 Mathematical Sciences', '0603 Evolutionary Biology', '1701 Psychology', '1117 Public Health and Health Services', '0605 Microbiology', '17 Psychology and Cognitive Sciences', '1107 Immunology', '0803 Computer Software', '07 Agricultural and Veterinary Sciences', '0806 Information Systems', '0606 Physiology', '1112 Oncology and Carcinogenesis', '1114 Paediatrics and Reproductive Medicine', '06 Biological Sciences', '0604 Genetics', '05 Environmental Sciences']"
179,Robin Knight,2021,"['10 Technology', '0601 Biochemistry and Cell Biology', '0306 Physical Chemistry (incl. Structural)', '0801 Artificial Intelligence and Image Processing', '1108 Medical Microbiology', '1103 Clinical Sciences', '0305 Organic Chemistry', '0104 Statistics', '11 Medical and Health Sciences', '03 Chemical Sciences', '08 Information and Computing Sciences', '0602 Ecology', '09 Engineering', '1109 Neurosciences', '1102 Cardiorespiratory Medicine and Haematology', '1111 Nutrition and Dietetics', '01 Mathematical Sciences', '1701 Psychology', '0102 Applied Mathematics', '1117 Public Health and Health Services', '0605 Microbiology', '17 Psychology and Cognitive Sciences', '1107 Immunology', '0806 Information Systems', '1004 Medical Biotechnology', '1112 Oncology and Carcinogenesis', '1114 Paediatrics and Reproductive Medicine', '06 Biological Sciences', '0604 Genetics']"
180,Ronghui (Lily) Xu,2016,"['1114 Paediatrics and Reproductive Medicine', '1112 Oncology and Carcinogenesis', '02 Physical Sciences', '0801 Artificial Intelligence and Image Processing', '1102 Cardiorespiratory Medicine and Haematology', '1117 Public Health and Health Services', '1103 Clinical Sciences', '0104 Statistics', '11 Medical and Health Sciences', '0299 Other Physical Sciences', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
181,Ronghui (Lily) Xu,2017,"['1114 Paediatrics and Reproductive Medicine', '1112 Oncology and Carcinogenesis', '06 Biological Sciences', '1117 Public Health and Health Services', '0801 Artificial Intelligence and Image Processing', '0104 Statistics', '11 Medical and Health Sciences', '1107 Immunology', '01 Mathematical Sciences', '07 Agricultural and Veterinary Sciences', '08 Information and Computing Sciences']"
182,Ronghui (Lily) Xu,2018,"['1115 Pharmacology and Pharmaceutical Sciences', '1112 Oncology and Carcinogenesis', '1114 Paediatrics and Reproductive Medicine', '1117 Public Health and Health Services', '0801 Artificial Intelligence and Image Processing', '1109 Neurosciences', '1102 Cardiorespiratory Medicine and Haematology', '1103 Clinical Sciences', '0104 Statistics', '11 Medical and Health Sciences', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
183,Ronghui (Lily) Xu,2019,"['1114 Paediatrics and Reproductive Medicine', '1112 Oncology and Carcinogenesis', '1117 Public Health and Health Services', '1109 Neurosciences', '1103 Clinical Sciences', '0104 Statistics', '11 Medical and Health Sciences', '0299 Other Physical Sciences', '01 Mathematical Sciences', '02 Physical Sciences']"
184,Ronghui (Lily) Xu,2020,"['1112 Oncology and Carcinogenesis', '1117 Public Health and Health Services', '1103 Clinical Sciences', '0104 Statistics', '11 Medical and Health Sciences', '0299 Other Physical Sciences', '01 Mathematical Sciences', '02 Physical Sciences']"
185,Ronghui (Lily) Xu,2021,"['1114 Paediatrics and Reproductive Medicine', '1112 Oncology and Carcinogenesis', '1117 Public Health and Health Services', '1109 Neurosciences', '1103 Clinical Sciences', '0104 Statistics', '11 Medical and Health Sciences', '01 Mathematical Sciences']"
186,Rose Yu,2017,"['08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
187,Rose Yu,2018,"['08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
188,Rose Yu,2019,"['0104 Statistics', '08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences']"
189,Rose Yu,2020,"['09 Engineering', '0915 Interdisciplinary Engineering']"
190,Rose Yu,2021,"['08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing', '11 Medical and Health Sciences', '1117 Public Health and Health Services']"
191,Ruth Williams,2016,"['0899 Other Information and Computing Sciences', '0601 Biochemistry and Cell Biology', '0102 Applied Mathematics', '06 Biological Sciences', '0104 Statistics', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
192,Ruth Williams,2019,"['0101 Pure Mathematics', '0104 Statistics', '01 Mathematical Sciences', '0102 Applied Mathematics']"
193,Ruth Williams,2021,"['01 Mathematical Sciences', '0103 Numerical and Computational Mathematics', '0102 Applied Mathematics']"
194,Shankar Subramaniam,2016,"['0601 Biochemistry and Cell Biology', '10 Technology', '1112 Oncology and Carcinogenesis', '03 Chemical Sciences', '0607 Plant Biology', '1114 Paediatrics and Reproductive Medicine', '0306 Physical Chemistry (incl. Structural)', '06 Biological Sciences', '09 Engineering', '1109 Neurosciences', '1103 Clinical Sciences', '0305 Organic Chemistry', '11 Medical and Health Sciences', '1107 Immunology', '1007 Nanotechnology', '02 Physical Sciences']"
195,Shankar Subramaniam,2017,"['0601 Biochemistry and Cell Biology', '06 Biological Sciences', '09 Engineering', '1117 Public Health and Health Services', '1109 Neurosciences', '0604 Genetics', '1102 Cardiorespiratory Medicine and Haematology', '0904 Chemical Engineering', '1103 Clinical Sciences', '0906 Electrical and Electronic Engineering', '0801 Artificial Intelligence and Image Processing', '11 Medical and Health Sciences', '1107 Immunology', '08 Information and Computing Sciences', '0903 Biomedical Engineering']"
196,Shankar Subramaniam,2018,"['06 Biological Sciences', '09 Engineering', '0604 Genetics', '0904 Chemical Engineering', '03 Chemical Sciences', '02 Physical Sciences']"
197,Shankar Subramaniam,2019,"['0601 Biochemistry and Cell Biology', '1112 Oncology and Carcinogenesis', '06 Biological Sciences', '09 Engineering', '1109 Neurosciences', '0904 Chemical Engineering', '0604 Genetics', '1103 Clinical Sciences', '0605 Microbiology', '0802 Computation Theory and Mathematics', '1199 Other Medical and Health Sciences', '11 Medical and Health Sciences', '08 Information and Computing Sciences']"
198,Shankar Subramaniam,2020,"['0601 Biochemistry and Cell Biology', '10 Technology', '0801 Artificial Intelligence and Image Processing', '1103 Clinical Sciences', '11 Medical and Health Sciences', '03 Chemical Sciences', '08 Information and Computing Sciences', '09 Engineering', '1109 Neurosciences', '1102 Cardiorespiratory Medicine and Haematology', '0912 Materials Engineering', '1199 Other Medical and Health Sciences', '14 Economics', '0703 Crop and Pasture Production', '1117 Public Health and Health Services', '0904 Chemical Engineering', '1403 Econometrics', '1107 Immunology', '07 Agricultural and Veterinary Sciences', '1004 Medical Biotechnology', '1112 Oncology and Carcinogenesis', '06 Biological Sciences', '0604 Genetics', '02 Physical Sciences']"
199,Shankar Subramaniam,2021,"['10 Technology', '0601 Biochemistry and Cell Biology', '1114 Paediatrics and Reproductive Medicine', '06 Biological Sciences', '09 Engineering', '0301 Analytical Chemistry', '0801 Artificial Intelligence and Image Processing', '0604 Genetics', '0904 Chemical Engineering', '1102 Cardiorespiratory Medicine and Haematology', '11 Medical and Health Sciences', '1107 Immunology', '0399 Other Chemical Sciences', '03 Chemical Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
200,Shannon Ellis,2016,"['06 Biological Sciences', '0604 Genetics', '1109 Neurosciences', '11 Medical and Health Sciences']"
201,Shannon Ellis,2017,"['06 Biological Sciences', '1109 Neurosciences', '0604 Genetics', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
202,Shannon Ellis,2018,"['06 Biological Sciences', '0104 Statistics', '01 Mathematical Sciences', '0604 Genetics']"
203,Shannon Ellis,2019,"['0601 Biochemistry and Cell Biology', '06 Biological Sciences', '0604 Genetics', '11 Medical and Health Sciences', '1101 Medical Biochemistry and Metabolomics']"
204,Tara Javidi,2016,"['10 Technology', '0805 Distributed Computing', '1005 Communications Technologies', '0102 Applied Mathematics', '1701 Psychology', '09 Engineering', '02 Physical Sciences', '0801 Artificial Intelligence and Image Processing', '0906 Electrical and Electronic Engineering', '0104 Statistics', '17 Psychology and Cognitive Sciences', '01 Mathematical Sciences', '0299 Other Physical Sciences', '08 Information and Computing Sciences', '0915 Interdisciplinary Engineering', '0903 Biomedical Engineering']"
205,Tara Javidi,2017,"['10 Technology', '1005 Communications Technologies', '1701 Psychology', '09 Engineering', '0804 Data Format', '0801 Artificial Intelligence and Image Processing', '0906 Electrical and Electronic Engineering', '17 Psychology and Cognitive Sciences', '0104 Statistics', '1402 Applied Economics', '01 Mathematical Sciences', '14 Economics', '0803 Computer Software', '08 Information and Computing Sciences']"
206,Tara Javidi,2018,"['10 Technology', '1005 Communications Technologies', '0607 Plant Biology', '06 Biological Sciences', '0804 Data Format', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '0906 Electrical and Electronic Engineering', '0104 Statistics', '01 Mathematical Sciences', '0803 Computer Software', '08 Information and Computing Sciences']"
207,Tara Javidi,2019,"['10 Technology', '1005 Communications Technologies', '0804 Data Format', '1117 Public Health and Health Services', '0801 Artificial Intelligence and Image Processing', '09 Engineering', '0906 Electrical and Electronic Engineering', '0104 Statistics', '0802 Computation Theory and Mathematics', '11 Medical and Health Sciences', '01 Mathematical Sciences', '0803 Computer Software', '0806 Information Systems', '08 Information and Computing Sciences']"
208,Tara Javidi,2020,"['0102 Applied Mathematics', '0804 Data Format', '0101 Pure Mathematics', '0801 Artificial Intelligence and Image Processing', '0104 Statistics', '0802 Computation Theory and Mathematics', '01 Mathematical Sciences', '0803 Computer Software', '0806 Information Systems', '08 Information and Computing Sciences']"
209,Tara Javidi,2021,"['10 Technology', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '0906 Electrical and Electronic Engineering', '0104 Statistics', '0802 Computation Theory and Mathematics', '1006 Computer Hardware', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
210,Terry Sejnowski,2016,"['0601 Biochemistry and Cell Biology', '1702 Cognitive Sciences', '0102 Applied Mathematics', '1701 Psychology', '06 Biological Sciences', '09 Engineering', '1109 Neurosciences', '0801 Artificial Intelligence and Image Processing', '1103 Clinical Sciences', '0104 Statistics', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences', '01 Mathematical Sciences', '0103 Numerical and Computational Mathematics', '08 Information and Computing Sciences', '0915 Interdisciplinary Engineering']"
211,Terry Sejnowski,2017,"['0601 Biochemistry and Cell Biology', '1701 Psychology', '06 Biological Sciences', '09 Engineering', '0911 Maritime Engineering', '1109 Neurosciences', '0904 Chemical Engineering', '0801 Artificial Intelligence and Image Processing', '02 Physical Sciences', '0906 Electrical and Electronic Engineering', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences', '03 Chemical Sciences', '0913 Mechanical Engineering', '08 Information and Computing Sciences']"
212,Terry Sejnowski,2018,"['0601 Biochemistry and Cell Biology', '0102 Applied Mathematics', '06 Biological Sciences', '09 Engineering', '02 Physical Sciences', '1109 Neurosciences', '0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '0608 Zoology', '11 Medical and Health Sciences', '0103 Numerical and Computational Mathematics', '0104 Statistics', '01 Mathematical Sciences', '03 Chemical Sciences', '0303 Macromolecular and Materials Chemistry', '08 Information and Computing Sciences']"
213,Terry Sejnowski,2019,"['0601 Biochemistry and Cell Biology', '1115 Pharmacology and Pharmaceutical Sciences', '0801 Artificial Intelligence and Image Processing', '1103 Clinical Sciences', '0104 Statistics', '11 Medical and Health Sciences', '03 Chemical Sciences', '08 Information and Computing Sciences', '1303 Specialist Studies In Education', '09 Engineering', '0101 Pure Mathematics', '1109 Neurosciences', '0399 Other Chemical Sciences', '01 Mathematical Sciences', '13 Education', '1702 Cognitive Sciences', '0102 Applied Mathematics', '1701 Psychology', '17 Psychology and Cognitive Sciences', '0299 Other Physical Sciences', '0606 Physiology', '1116 Medical Physiology', '06 Biological Sciences', '0604 Genetics', '0103 Numerical and Computational Mathematics', '02 Physical Sciences']"
214,Terry Sejnowski,2020,"['0601 Biochemistry and Cell Biology', '10 Technology', '0102 Applied Mathematics', '1701 Psychology', '06 Biological Sciences', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '1109 Neurosciences', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
215,Terry Sejnowski,2021,"['0601 Biochemistry and Cell Biology', '1702 Cognitive Sciences', '1701 Psychology', '0102 Applied Mathematics', '06 Biological Sciences', '0101 Pure Mathematics', '02 Physical Sciences', '0801 Artificial Intelligence and Image Processing', '1109 Neurosciences', '17 Psychology and Cognitive Sciences', '0104 Statistics', '11 Medical and Health Sciences', '01 Mathematical Sciences', '0299 Other Physical Sciences', '08 Information and Computing Sciences']"
216,Tsu-Wei (Lily) Weng,2016,"['10 Technology', '0910 Manufacturing Engineering', '09 Engineering', '0906 Electrical and Electronic Engineering', '0104 Statistics', '01 Mathematical Sciences', '0103 Numerical and Computational Mathematics', '0205 Optical Physics', '1007 Nanotechnology', '02 Physical Sciences']"
217,Tsu-Wei (Lily) Weng,2018,"['0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
218,Tsu-Wei (Lily) Weng,2019,"['0102 Applied Mathematics', '0801 Artificial Intelligence and Image Processing', '0103 Numerical and Computational Mathematics', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
219,Tsu-Wei (Lily) Weng,2020,"['0104 Statistics', '08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences']"
220,Tsu-Wei (Lily) Weng,2021,"['08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
221,Vineet Bafna,2016,"['0601 Biochemistry and Cell Biology', '1112 Oncology and Carcinogenesis', '06 Biological Sciences', '0602 Ecology', '0604 Genetics', '0605 Microbiology', '11 Medical and Health Sciences']"
