,HDSI_author,year,category_for
28,Arya Mazumdar,2018,"['10 Technology', '1005 Communications Technologies', '0101 Pure Mathematics', '0804 Data Format', '0801 Artificial Intelligence and Image Processing', '09 Engineering', '0906 Electrical and Electronic Engineering', '0104 Statistics', '0802 Computation Theory and Mathematics', '0103 Numerical and Computational Mathematics', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
29,Arya Mazumdar,2019,"['10 Technology', '1005 Communications Technologies', '0804 Data Format', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '0906 Electrical and Electronic Engineering', '0104 Statistics', '0802 Computation Theory and Mathematics', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
30,Arya Mazumdar,2020,"['0102 Applied Mathematics', '0804 Data Format', '0801 Artificial Intelligence and Image Processing', '0802 Computation Theory and Mathematics', '01 Mathematical Sciences', '0103 Numerical and Computational Mathematics', '08 Information and Computing Sciences']"
31,Arya Mazumdar,2021,"['10 Technology', '1005 Communications Technologies', '0102 Applied Mathematics', '0101 Pure Mathematics', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '0906 Electrical and Electronic Engineering', '0104 Statistics', '0802 Computation Theory and Mathematics', '01 Mathematical Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
32,Babak Salimi,2016,"['0806 Information Systems', '08 Information and Computing Sciences']"
33,Babak Salimi,2017,"['0807 Library and Information Studies', '0104 Statistics', '0802 Computation Theory and Mathematics', '01 Mathematical Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
34,Babak Salimi,2018,"['0806 Information Systems', '08 Information and Computing Sciences']"
35,Babak Salimi,2019,"['0801 Artificial Intelligence and Image Processing', '0104 Statistics', '01 Mathematical Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
36,Babak Salimi,2020,"['0806 Information Systems', '08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
37,Babak Salimi,2021,"['0807 Library and Information Studies', '0801 Artificial Intelligence and Image Processing', '0802 Computation Theory and Mathematics', '0806 Information Systems', '08 Information and Computing Sciences']"
38,Barna Saha,2016,"['2004 Linguistics', '20 Language, Communication and Culture', '0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0103 Numerical and Computational Mathematics', '0806 Information Systems', '08 Information and Computing Sciences']"
39,Barna Saha,2017,"['2004 Linguistics', '20 Language, Communication and Culture', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences']"
40,Barna Saha,2018,"['0801 Artificial Intelligence and Image Processing', '0802 Computation Theory and Mathematics', '0104 Statistics', '01 Mathematical Sciences', '0103 Numerical and Computational Mathematics', '0806 Information Systems', '08 Information and Computing Sciences']"
41,Barna Saha,2019,"['0801 Artificial Intelligence and Image Processing', '0802 Computation Theory and Mathematics', '0103 Numerical and Computational Mathematics', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
42,Barna Saha,2020,"['0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
43,Barna Saha,2021,"['0102 Applied Mathematics', '0801 Artificial Intelligence and Image Processing', '0802 Computation Theory and Mathematics', '01 Mathematical Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
44,Benjamin Smarr,2016,"['1702 Cognitive Sciences', '1114 Paediatrics and Reproductive Medicine', '1112 Oncology and Carcinogenesis', '0801 Artificial Intelligence and Image Processing', '1103 Clinical Sciences', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
45,Benjamin Smarr,2017,"['1114 Paediatrics and Reproductive Medicine', '1701 Psychology', '06 Biological Sciences', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences', '0606 Physiology']"
46,Benjamin Smarr,2018,"['1701 Psychology', '06 Biological Sciences', '1103 Clinical Sciences', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences', '0606 Physiology']"
47,Benjamin Smarr,2019,"['1701 Psychology', '0602 Ecology', '06 Biological Sciences', '1117 Public Health and Health Services', '1109 Neurosciences', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences']"
48,Benjamin Smarr,2020,"['1114 Paediatrics and Reproductive Medicine', '1117 Public Health and Health Services', '11 Medical and Health Sciences']"
49,Benjamin Smarr,2021,"['1114 Paediatrics and Reproductive Medicine', '16 Studies in Human Society', '1701 Psychology', '1699 Other Studies In Human Society', '1117 Public Health and Health Services', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences']"
50,Berk Ustun,2016,"['1701 Psychology', '1103 Clinical Sciences', '0104 Statistics', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences', '01 Mathematical Sciences', '1199 Other Medical and Health Sciences']"
51,Berk Ustun,2017,"['1117 Public Health and Health Services', '11 Medical and Health Sciences', '01 Mathematical Sciences', '0102 Applied Mathematics']"
52,Berk Ustun,2018,"['1503 Business and Management', '0102 Applied Mathematics', '0104 Statistics', '15 Commerce, Management, Tourism and Services', '01 Mathematical Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
53,Berk Ustun,2019,"['1701 Psychology', '0801 Artificial Intelligence and Image Processing', '1103 Clinical Sciences', '1402 Applied Economics', '17 Psychology and Cognitive Sciences', '0104 Statistics', '11 Medical and Health Sciences', '01 Mathematical Sciences', '14 Economics', '08 Information and Computing Sciences']"
54,Berk Ustun,2021,"['08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
55,Bradley Voytek,2016,"['1701 Psychology', '06 Biological Sciences', '1109 Neurosciences', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
56,Bradley Voytek,2017,"['1702 Cognitive Sciences', '1701 Psychology', '1109 Neurosciences', '1103 Clinical Sciences', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences']"
